Forma;Lemma originale;Lemma corretto;Postag originale;Postag corretto;Tipo modifica
ἐλεεῖ;['ἐλεάω'];['ἐλεέω'];['v2spie---'];['v2spie---'];lemma
ἐλεεῖν;['ἐλεάω', 'ἐλεέω'];['ἐλεέω'];['v--pna---'];['v--pna---'];lemma
ἐλεεῖς;['ἐλεάω'];['ἐλεέω'];['v2spia---'];['v2spia---'];lemma
ἐλεεῖσθαι;['ἐλεάω', 'ἐλεέω'];['ἐλεέω'];['v--pne---'];['v--pne---'];lemma
ἐλεηθείη;['ἐλεάω'];['ἐλεέω'];['v3saop---'];['v3saop---'];lemma
ἐλεηθῆναι;['ἐλεάω'];['ἐλεέω'];['v--anp---'];['v--anp---'];lemma
ἐλεινὰ;['ἐλεεινός'];['ἐλεινός'];['a-p---na-'];['a-p---na-'];lemma
ἐλεοῦντα;['ἐλεάω'];['ἐλεέω'];['v-sppama-'];['v-sppama-'];lemma
ἐλεῆσαι;['ἐλεάω', 'ἐλεέω'];['ἐλεέω'];['v--ana---'];['v--ana---'];lemma
ἐλεῶν;['ἐλεάω', 'ἐλεέω'];['ἐλεέω'];['v-sppamn-'];['v-sppamn-'];lemma
ἐλινύας;['ἐλινύες'];['ἐλινύς'];['n-p---fa-'];['n-p---fa-'];lemma
ἐλλέβορον;['ἑλλέβορος'];['ἐλλέβορος'];['n-s---ma-'];['n-s---ma-'];lemma
ἐλύσαντο;['ἐλύω'];['λύω'];['v3paim---'];['v3paim---'];lemma
ἐλᾳδίου;['ἐλάδιον'];['ἐλᾴδιον'];['n-s---ng-'];['n-s---ng-'];lemma
ἐμβαδὸν;['ἐμβαδόν1'];['ἐμβαδόν'];['d--------'];['d--------'];lemma
ἐμμέμικται;['ἐμμίγνυμαι'];['ἐμμίγνυμι'];['v3srie---'];['v3srie---'];lemma
ἐμνήσθη;['μιμνήσκω'];['μιμνῄσκω'];['v3saip---'];['v3saip---'];lemma
ἐμνήσθημεν;['μιμνήσκω'];['μιμνῄσκω'];['v1paip---'];['v1paip---'];lemma
