;form;lemmi;postag
345;ἀναΐξει;['ἀνίκω'];['v3sfia---']
346;ἀναΐσσουσιν;['ἀνᾴσσω'];['v3ppia---']
347;ἀνακτορίην;['ἀνακτορία'];['n-s---fa-']
348;ἀναπνέει;['ἀναπνέω'];['v3spia---']
349;ἀνασσείσασκε;['ἀνασσείασκε'];['v3saia---']
350;ἀνδράσιν;['ἀνήρ'];['n-p---md-']
351;ἀνδρῶν;['ἀνήρ'];['n-p---mg-']
352;ἀνέμοισιν;['ἄνεμος'];['n-p---md-']
353;ἀνέρας;['ἀνήρ'];['n-p---ma-']
354;ἀνέρι;['ἀνήρ'];['n-s---md-']
355;ἀνείρηται;['ἀνέρομαι'];['v3sasm---']
356;ἀνειρόμενος;['ἀνέρομαι'];['v-sppmmn-']
357;ἀνειρομένη;['ἀναλέγω'];['v-sppmfn-']
358;ἀνὴρ;['ἀνήρ'];['n-s---mn-']
359;ἀνήρ;['ἀνήρ'];['n-s---mn-']
360;ἀνθρώποις;['ἄνθρωπος'];['n-p---md-']
361;ἀνθρώποισι;['ἄνθρωπος'];['n-p---md-']
362;ἀνθρώποισιν;['ἄνθρωπος'];['n-p---md-']
363;ἀνθρώπους;['ἄνθρωπος'];['n-p---ma-']
364;ἀνθρώπων;['ἄνθρωπος'];['n-p---mg-']
365;ἀντίον;['ἀντίος'];['a-s---na-']
366;ἀντιάσειε;['ἀντιάζω'];['v3saoa---']
367;ἀντιθέῳ;['ἀντίθεος'];['a-s---md-']
368;ἀνύσειε;['ἀνύω'];['v3saoa---']
369;ἀν’;['ἀνά'];['r--------']
370;ἀξέμεν;['ἄγω'];['v--fna---']
371;ἀοίδιμον;['ἀοίδιμος'];['a-s---ma-']
372;ἀοιδαί;['ἀοιδή'];['n-p---fn-']
373;ἀοιδή;['ἀοιδή'];['n-s---fn-']
374;ἀοιδήν;['ἀοιδή'];['n-s---fa-']
375;ἀοιδῇ;['ἀοιδή'];['n-s---fd-']
376;ἀοιδῆς;['ἀοιδή'];['n-s---fg-']
377;ἀοιδῶν;['ἀοιδός'];['n-p---mg-']
378;ἀπαμειβόμενος;['ἀπαμείβομαι'];['v-sppmmn-']
379;ἀπὲκ;['ἀπέκ'];['r--------']
380;ἀπέκρυψεν;['ἀποκρύπτω'];['v3saia---']
381;ἀπείρων;['ἄπειρος'];['a-s---mn-']
382;ἀπήμων;['ἀπήμων'];['a-s---mn-']
383;ἀπὸ;['ἀπό'];['r--------']
384;ἀπό;['ἀπό'];['r--------']
385;ἀποβάντες;['ἀποβαίνω'];['v-papamn-']
386;ἀποπνείουσ’;['ἀποπνέω'];['v-sppafn-']
387;ἀπορνύμενος;['ἀπόρνυμι'];['v-sppmmn-']
388;ἀποστρέψειεν;['ἀποστρέφω'];['v3saoa---']
389;ἀπ’;['ἀπό'];['r--------']
390;ἀργαλέον;['ἀργαλέος'];['a-s---ma-', 'a-s---na-']
391;ἀργαλέους;['ἀργαλέος'];['a-p---ma-']
392;ἀργυρόπεζα;['ἀργυρόπεζα'];['n-s---fn-']
393;ἀργυρότοξε;['ἀργυρότοξος'];['a-s---mv-']
394;ἀργυρότοξον;['ἀργυρότοξος'];['a-s---ma-']
395;ἀρδόμενοί;['ἄρδω'];['v-pppmmn-']
396;ἀρείων;['ἀρείων'];['a-s---mnc']
397;ἀριστεύσουσιν;['ἀριστεύω'];['v3pfia---']
398;ἀρκέσει;['ἀρκέω'];['v3sfia---']
399;ἀσθμαίνουσα;['ἀσθμαίνω'];['v-sppafn-']
400;ἀσπαίροντα;['ἀσπαίρω'];['v-sppama-']
401;ἀσπασίη;['ἀσπάσιος'];['a-s---fn-']
402;ἀστέρι;['ἀστήρ'];['n-s---md-']
403;ἀτὰρ;['ἀτάρ'];['c--------']
404;ἀτάσθαλον;['ἀτάσθαλος'];['a-s---ma-']
405;ἀταρπιτοὶ;['ἀτραπός'];['n-p---fn-']
406;ἀτιμάζειν;['ἀτιμάζω'];['v--pna---']
407;ἀτιμήσας;['ἀτιμάζω'];['v-sapamn-']
408;ἀφήμως;['ἄφημος'];['d--------']
409;ἀφίκεο;['ἀφικνέομαι'];['v2saim---']
410;ἀφίξεται;['ἀφικνέομαι'];['v3sfim---']
411;ἀφιέντες;['ἀφίημι'];['v-pppamn-']
412;ἀφραδέες;['ἀφραδής'];['a-p---mn-']
413;ἀφραδίῃς;['ἀφραδία'];['n-p---fd-']
414;ἀφ’;['ἀπό'];['r--------']
415;ἀχθόμενός;['ἄχθομαι'];['v-sppmmn-']
416;ἃ;['ἑός'];['a-p---na-']
417;ἅδε;['ὅδε', 'ἁνδάνω'];['v3saia---', 'p-s---fn-']
418;ἅδῃ;['ἁνδάνω'];['v3sasa---']
419;ἅδον;['ἁνδάνω'];['v3paia---']
420;ἅλα;['ἅλς'];['n-s---fa-']
421;ἅλαδε;['ἅλαδε'];['d--------']
422;ἅλιον;['ἅλιος'];['a-s---na-']
423;ἅλις;['ἅλις'];['d--------']
424;ἅμα;['ἅμα'];['d--------']
425;ἅμ’;['ἅμα'];['d--------']
426;ἅπασα;['ἅπας'];['p-s---fn-']
427;ἅπασαι;['ἅπας'];['p-p---fn-']
428;ἅρματα;['ἅρμα'];['n-p---nn-', 'n-p---na-']
429;ἅρματά;['ἅρμα'];['n-p---na-']
430;ἅρματ’;['ἅρμα'];['n-p---na-']
431;ἅψεται;['ἅπτω'];['v3sfim---']
432;ἁγνῶς;['ἁγνός'];['d--------']
433;ἁλὶ;['ἅλς'];['n-s---md-']
434;ἁλιστέφανον;['ἁλιστέφανος'];['a-s---na-']
435;ἁλμυρὸν;['ἁλμυρός'];['a-s---na-']
436;ἁλὸς;['ἅλς'];['n-s---fg-']
437;αἴγλη;['αἴγλη'];['n-s---fn-']
438;αἴης;['αἶα'];['n-s---fg-']
439;αἴθριος;['αἴθριος'];['a-s---mn-']
440;αἴσης;['αἶσα'];['n-s---fg-']
441;αἴσιμον;['αἴσιμος'];['a-s---na-']
442;αἶαν;['αἶα'];['n-s---fa-']
443;αἶσχος;['αἶσχος'];['n-s---na-']
444;αἶψα;['αἶψα'];['d--------']
445;αἰγλήεσσα;['αἰγλήεις'];['a-s---fn-']
446;αἰδοίῃς;['αἰδοῖος'];['a-p---fd-']
447;αἰεὶ;['ἀεί'];['d--------']
448;αἰεί;['ἀεί'];['d--------']
449;αἰζηῷ;['αἰζηός'];['a-s---md-']
450;αἰθέρος;['αἰθήρ'];['n-s---fg-']
451;αἰνῶς;['αἰνός'];['d--------']
452;αἰπεινὰ;['αἰπεινός'];['a-s---fn-']
453;αἰπεινὴ;['αἰπεινός'];['a-s---fn-']
454;αἰπὺ;['αἰπύς'];['a-s---nn-']
455;αἰπὺν;['αἰπύς'];['a-s---ma-']
456;αἰπύ;['αἰπύς'];['a-s---nn-']
457;αἰσχρὴ;['αἰσχρός'];['a-s---fn-']
458;αἰσχύνασ’;['αἰσχύνω'];['v-sapafn-']
